file_name,replicate,sample_day,cell_density,start_time,cell_volume
data-raw/flowcam-summaries-apr30/1_summary,1,lst,162288,2017-04-30  11:38:45,1044.66
data-raw/flowcam-summaries-apr30/10_summary,10,lst,192006,2017-04-30  11:59:18,820.35
data-raw/flowcam-summaries-apr30/11_summary,11,lst,214573,2017-04-30  12:00:55,605.16
data-raw/flowcam-summaries-apr30/12_summary,12,lst,165042,2017-04-30  12:02:39,757.19
data-raw/flowcam-summaries-apr30/13_summary,13,lst,225259,2017-04-30  12:04:23,536.44
data-raw/flowcam-summaries-apr30/14_summary,14,lst,153208,2017-04-30  12:09:11,677.40
data-raw/flowcam-summaries-apr30/15_summary,15,lst,257863,2017-04-30  12:10:37,601.72
data-raw/flowcam-summaries-apr30/16_summary,16,lst,112963,2017-04-30  12:13:08,684.61
data-raw/flowcam-summaries-apr30/16-2_summary,16,2,116206,2017-04-30  12:17:44,722.96
data-raw/flowcam-summaries-apr30/2_summary,2,lst,215147,2017-04-30  11:42:02,965.09
data-raw/flowcam-summaries-apr30/3_summary,3,lst,185898,2017-04-30  11:44:06,1000.88
data-raw/flowcam-summaries-apr30/4_summary,4,lst,176961,2017-04-30  11:46:02,1111.41
data-raw/flowcam-summaries-apr30/5_summary,5,lst,242917,2017-04-30  11:48:03,944.79
data-raw/flowcam-summaries-apr30/6_summary,6,lst,175534,2017-04-30  11:52:21,1164.47
data-raw/flowcam-summaries-apr30/7_summary,7,lst,229542,2017-04-30  11:54:02,1032.09
data-raw/flowcam-summaries-apr30/8_summary,8,lst,141945,2017-04-30  11:55:34,1043.12
data-raw/flowcam-summaries-apr30/9_summary,9,lst,187674,2017-04-30  11:57:24,798.38
data-raw/flowcam-summaries-apr30/stock_summary,stock,lst,1011315,2017-04-30  12:14:59,339.46
data-raw/flowcam-summaries-may1/1_summary,1,lst,149238,2017-05-01  10:41:28,823.98
data-raw/flowcam-summaries-may1/10_summary,10,lst,116135,2017-05-01  10:28:33,804.23
data-raw/flowcam-summaries-may1/11_summary,11,lst,152992,2017-05-01  10:31:45,586.06
data-raw/flowcam-summaries-may1/12_summary,12,lst,126751,2017-05-01  10:21:37,673.14
data-raw/flowcam-summaries-may1/13_summary,13,lst,209802,2017-05-01  10:16:27,556.07
data-raw/flowcam-summaries-may1/14_summary,14,lst,124147,2017-05-01  10:33:12,816.11
data-raw/flowcam-summaries-may1/15_summary,15,lst,290239,2017-05-01  10:14:55,761.05
data-raw/flowcam-summaries-may1/16_summary,16,lst,70223,2017-05-01  10:40:01,796.49
data-raw/flowcam-summaries-may1/2_summary,2,lst,234562,2017-05-01  10:38:29,757.86
data-raw/flowcam-summaries-may1/3_summary,3,lst,211899,2017-05-01  10:05:46,957.56
data-raw/flowcam-summaries-may1/4_summary,4,lst,215981,2017-05-01  10:24:20,899.89
data-raw/flowcam-summaries-may1/5_summary,5,lst,331905,2017-05-01  10:27:09,832.50
data-raw/flowcam-summaries-may1/6_summary,6,lst,229361,2017-05-01  10:04:16,1092.87
data-raw/flowcam-summaries-may1/7_summary,7,lst,281252,2017-05-01  10:07:13,1005.44
data-raw/flowcam-summaries-may1/8_summary,8,lst,174077,2017-05-01  10:36:06,913.67
data-raw/flowcam-summaries-may1/9_summary,9,lst,178837,2017-05-01  10:17:56,893.57
data-raw/flowcam-summaries-may1/stock_summary,stock,lst,306492,2017-05-01  10:10:44,335.76
data-raw/flowcam-summaries-may2/1_summary,1,lst,121004,2017-05-02  08:21:06,622.60
data-raw/flowcam-summaries-may2/10_summary,10,lst,35202,2017-05-02  08:39:09,649.23
data-raw/flowcam-summaries-may2/11_summary,11,lst,64257,2017-05-02  08:40:36,537.91
data-raw/flowcam-summaries-may2/12_summary,12,lst,47738,2017-05-02  08:42:05,903.80
data-raw/flowcam-summaries-may2/13_summary,13,lst,77878,2017-05-02  08:44:56,407.50
data-raw/flowcam-summaries-may2/14_summary,14,lst,25443,2017-05-02  08:48:52,626.98
data-raw/flowcam-summaries-may2/15_summary,15,lst,90056,2017-05-02  08:50:17,627.03
data-raw/flowcam-summaries-may2/16_summary,16,lst,16951,2017-05-02  08:51:41,627.10
data-raw/flowcam-summaries-may2/2_summary,2,lst,155266,2017-05-02  08:24:20,525.88
data-raw/flowcam-summaries-may2/3_summary,3,lst,112068,2017-05-02  08:25:47,599.04
data-raw/flowcam-summaries-may2/4_summary,4,lst,110811,2017-05-02  08:28:38,617.55
data-raw/flowcam-summaries-may2/5_summary,5,lst,158305,2017-05-02  08:30:05,446.29
data-raw/flowcam-summaries-may2/6_summary,6,lst,115711,2017-05-02  08:31:31,618.66
data-raw/flowcam-summaries-may2/7_summary,7,lst,133281,2017-05-02  08:33:25,587.08
data-raw/flowcam-summaries-may2/8_summary,8,lst,117488,2017-05-02  08:34:53,707.05
data-raw/flowcam-summaries-may2/9_summary,9,lst,59288,2017-05-02  08:37:41,711.62
data-raw/flowcam-summaries-may2/stock_summary,stock,lst,262634,2017-05-02  08:53:08,242.21
data-raw/flowcam-summaries-may3/1_summary,1,lst,101641,2017-05-03  09:22:21,894.80
data-raw/flowcam-summaries-may3/10_summary,10,lst,21660,2017-05-03  09:37:24,793.05
