List File,16-2.lst
Start Time,2017-04-30  12:17:44
Sampling Time,44 sec

Count,2179
Particles / ml,116206

Efficiency,8.4%
PPUI,4.21

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),85.14,19.60,1033.96,74.07,87.00
Aspect Ratio,0.76,0.18,1.00,0.13,17.41
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.00,0.91,0.12,17.69
Circularity (Hu),0.89,0.09,0.99,0.08,9.27
Compactness,1.91,1.02,30.72,0.92,48.19
Diameter (ABD),9.77,5.00,36.28,3.60,36.89
Diameter (ESD),11.58,5.56,44.39,4.19,36.13
Elongation,3.63,1.00,94.49,3.01,82.84
Geodesic Aspect Ratio,0.38,0.01,1.00,0.22,57.73
Geodesic Length,20.36,6.13,101.46,10.11,49.68
Geodesic Thickness,6.30,0.71,14.54,1.94,30.73
Image Height,35.42,19.00,102.00,8.16,23.03
Image Width,34.81,20.00,96.00,8.24,23.67
Intensity,159.14,96.79,191.47,15.31,9.62
Length,13.46,5.98,54.40,5.04,37.48
Perimeter,53.32,24.53,226.31,20.78,38.98
Roughness,1.28,1.04,2.38,0.18,14.27
Sigma Intensity,40.67,7.84,60.10,7.86,19.34
Sum Intensity,66647.15,16913.00,5.61e+005,44848.19,67.29
Transparency,0.16,0.06,0.73,0.05,34.26
Volume (ABD),722.96,65.29,25010.50,1319.59,182.52
Width,9.31,2.49,37.03,3.43,36.80

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,39,1.79,0.15,2080,0.21
6-7um,197,9.04,1.13,10506,1.56
7-8um,237,10.88,1.99,12639,2.77
8-9um,199,9.13,2.45,10613,3.39
0-5um,0,0.00,0.00,0.00,0.00
5-10um,862,39.56,8.94,45970,12
10-15um,895,41.07,34.65,47730,48
15-20um,363,16.66,35.07,19359,49
20-25um,36,1.65,7.32,1920,10
25-30um,6,0.28,2.31,320,3.20
30-35um,5,0.23,3.27,267,4.54
35-40um,2,0.09,2.11,107,2.93
40-45um,4,0.18,6.24,213,8.65
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,183,8.40,3.17,9759,4.39
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

