List File,6.lst
Start Time,2017-04-30  11:52:21
Sampling Time,41 sec

Count,3035
Particles / ml,175534

Efficiency,8.5%
PPUI,6.28

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),125.12,19.60,570.81,69.09,55.22
Aspect Ratio,0.72,0.07,1.00,0.13,18.01
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.00,0.92,0.12,18.74
Circularity (Hu),0.89,0.10,1.00,0.09,9.91
Compactness,1.92,1.07,26.79,0.84,43.52
Diameter (ABD),12.20,5.00,26.96,3.25,26.66
Diameter (ESD),14.31,5.80,39.74,3.71,25.95
Elongation,3.69,1.00,82.14,2.74,74.15
Geodesic Aspect Ratio,0.36,0.01,1.00,0.18,50.85
Geodesic Length,24.45,6.56,93.93,9.44,38.61
Geodesic Thickness,7.47,0.77,16.39,2.07,27.77
Image Height,39.47,18.00,109.00,8.33,21.12
Image Width,40.45,20.00,104.00,7.59,18.77
Intensity,158.11,93.04,188.29,15.22,9.62
Length,16.82,6.37,52.54,4.54,26.97
Perimeter,63.83,26.22,202.43,18.75,29.37
Roughness,1.31,1.04,2.24,0.20,14.94
Sigma Intensity,41.84,9.13,60.58,8.12,19.41
Sum Intensity,92441.72,16672.00,3.24e+005,43995.42,47.59
Transparency,0.15,0.05,0.72,0.06,37.76
Volume (ABD),1164.47,65.29,10258.84,1032.57,88.67
Width,11.16,2.21,25.15,3.21,28.75

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.07,0.00,116,0.01
6-7um,14,0.46,0.04,810,0.12
7-8um,47,1.55,0.19,2718,0.62
8-9um,83,2.73,0.48,4800,1.59
0-5um,0,0.00,0.00,0.00,0.00
5-10um,292,9.62,1.90,16888,6.22
10-15um,1528,50.35,28.78,88374,94
15-20um,1007,33.18,45.98,58242,151
20-25um,169,5.57,16.27,9774,53
25-30um,30,0.99,5.77,1735,19
30-35um,2,0.07,0.61,116,1.99
35-40um,1,0.03,0.58,58,1.90
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,145,4.78,1.18,8386,3.87
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

