List File,stock.lst
Start Time,2017-04-30  12:14:59
Sampling Time,51 sec

Count,17714
Particles / ml,1011315

Efficiency,6.8%
PPUI,36.52

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),53.16,19.60,810.78,39.41,74.12
Aspect Ratio,0.83,0.25,1.00,0.11,13.34
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.00,0.93,0.12,16.68
Circularity (Hu),0.90,0.18,1.00,0.08,9.16
Compactness,1.86,1.00,11.63,0.76,40.84
Diameter (ABD),7.88,5.00,32.13,2.38,30.24
Diameter (ESD),9.40,5.40,39.08,2.98,31.66
Elongation,3.43,1.00,34.50,2.56,74.63
Geodesic Aspect Ratio,0.44,0.03,1.00,0.27,61.10
Geodesic Length,16.61,5.94,117.10,8.54,51.39
Geodesic Thickness,5.66,1.28,16.86,1.68,29.74
Image Height,31.36,17.00,99.00,5.64,17.98
Image Width,30.84,19.00,105.00,5.69,18.45
Intensity,166.76,107.65,209.63,12.02,7.21
Length,10.63,5.74,50.39,3.54,33.33
Perimeter,44.54,23.74,245.71,16.25,36.47
Roughness,1.26,1.04,2.48,0.18,14.05
Sigma Intensity,39.20,4.04,63.64,7.44,18.98
Sum Intensity,48832.54,16995.00,5.05e+005,27204.77,55.71
Transparency,0.16,0.04,0.62,0.06,34.94
Volume (ABD),339.46,65.29,17366.80,517.12,152.34
Width,7.95,3.04,32.66,2.44,30.69

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,318,1.80,0.32,18155,1.91
6-7um,2696,15.22,3.79,153918,23
7-8um,3768,21.27,7.89,215120,48
8-9um,3095,17.47,9.34,176698,56
0-5um,0,0.00,0.00,0.00,0.00
5-10um,12045,68.00,30.25,687665,183
10-15um,4937,27.87,42.45,281860,256
15-20um,531,3.00,12.72,30315,77
20-25um,120,0.68,6.30,6851,38
25-30um,31,0.18,3.07,1770,19
30-35um,20,0.11,3.31,1142,20
35-40um,7,0.04,1.78,400,11
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2057,11.61,8.68,117437,52
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

