List File,stock.lst
Start Time,2017-05-03  10:24:21
Sampling Time,49 sec

Count,7058
Particles / ml,348031

Efficiency,8.2%
PPUI,12.47

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),48.23,19.60,312.66,28.81,59.74
Aspect Ratio,0.79,0.22,1.00,0.14,17.33
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.04,0.93,0.14,20.15
Circularity (Hu),0.87,0.20,1.00,0.12,13.83
Compactness,2.03,1.00,8.45,0.98,48.38
Diameter (ABD),7.56,5.00,19.95,2.06,27.27
Diameter (ESD),9.25,5.30,27.75,2.68,28.98
Elongation,3.97,1.00,24.50,3.27,82.22
Geodesic Aspect Ratio,0.43,0.04,1.00,0.29,68.19
Geodesic Length,17.12,5.86,84.78,9.38,54.75
Geodesic Thickness,5.31,1.69,14.20,1.67,31.43
Image Height,30.78,17.00,71.00,5.49,17.83
Image Width,30.80,18.00,72.00,5.22,16.93
Intensity,168.47,107.98,223.97,14.65,8.69
Length,10.60,5.58,35.00,3.06,28.90
Perimeter,44.87,23.42,178.96,17.20,38.34
Roughness,1.27,1.03,2.61,0.20,15.97
Sigma Intensity,37.25,3.28,55.53,9.70,26.03
Sum Intensity,45930.05,17533.00,2.22e+005,21699.48,47.24
Transparency,0.18,0.05,0.59,0.07,42.03
Volume (ABD),282.09,65.29,4158.80,284.24,100.76
Width,7.55,1.93,21.01,2.52,33.40

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,196,2.78,0.54,9665,1.00
6-7um,1239,17.55,4.84,61095,8.95
7-8um,1341,19.00,7.90,66125,15
8-9um,1185,16.79,10.10,58432,19
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4821,68.31,33.41,237724,62
10-15um,1970,27.91,47.90,97141,89
15-20um,234,3.32,14.55,11539,27
20-25um,19,0.27,2.69,937,4.97
25-30um,5,0.07,1.26,247,2.33
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,826,11.70,9.83,40730,18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

