List File,16.4.lst
Start Time,2017-05-05  08:44:43
Sampling Time,49 sec

Count,499
Particles / ml,23457

Efficiency,8.6%
PPUI,1.45

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),90.24,19.60,355.17,55.54,61.55
Aspect Ratio,0.74,0.18,1.00,0.14,18.98
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.17,0.94,0.13,19.67
Circularity (Hu),0.86,0.25,1.00,0.10,12.07
Compactness,2.16,1.04,8.17,0.98,45.32
Diameter (ABD),10.25,5.00,21.27,3.13,30.57
Diameter (ESD),12.34,5.83,28.29,3.59,29.06
Elongation,4.45,1.00,23.64,3.21,72.22
Geodesic Aspect Ratio,0.34,0.04,1.00,0.22,63.93
Geodesic Length,23.08,6.33,77.75,10.76,46.63
Geodesic Thickness,6.17,1.91,15.52,2.05,33.30
Image Height,36.76,22.00,74.00,6.96,18.94
Image Width,36.04,19.00,60.00,7.74,21.49
Intensity,164.87,71.98,217.15,15.20,9.22
Length,14.41,6.70,35.77,4.20,29.15
Perimeter,58.49,25.31,165.43,20.90,35.73
Roughness,1.34,1.04,2.32,0.24,17.73
Sigma Intensity,37.99,5.60,59.97,9.21,24.26
Sum Intensity,73506.63,19873.00,2.56e+005,38756.49,52.73
Transparency,0.17,0.03,0.56,0.07,40.05
Volume (ABD),730.79,65.29,5035.14,689.58,94.36
Width,9.77,2.21,20.95,3.34,34.15

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.40,0.03,94,0.01
6-7um,14,2.81,0.34,658,0.10
7-8um,33,6.61,1.19,1551,0.35
8-9um,49,9.82,2.53,2303,0.74
0-5um,0,0.00,0.00,0.00,0.00
5-10um,148,29.66,7.80,6957,2.28
10-15um,234,46.89,37.76,11000,11
15-20um,108,21.64,45.95,5077,13
20-25um,7,1.40,5.91,329,1.73
25-30um,1,0.20,1.91,47,0.56
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,49,9.82,3.65,2303,1.07
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

