List File,5.lst
Start Time,2017-05-05  09:44:29
Sampling Time,49 sec

Count,5068
Particles / ml,248607

Efficiency,8.2%
PPUI,8.90

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),101.82,19.60,911.61,66.55,65.36
Aspect Ratio,0.71,0.05,1.00,0.19,26.24
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.62,0.00,0.94,0.18,29.65
Circularity (Hu),0.83,0.05,1.00,0.18,21.56
Compactness,2.39,1.00,21.39,1.65,68.98
Diameter (ABD),10.85,5.00,34.07,3.46,31.90
Diameter (ESD),13.37,5.38,47.21,4.27,31.93
Elongation,5.17,1.00,65.19,5.34,103.39
Geodesic Aspect Ratio,0.37,0.02,1.00,0.26,70.90
Geodesic Length,25.38,5.97,138.77,15.18,59.79
Geodesic Thickness,6.50,0.88,15.34,2.31,35.46
Image Height,36.98,17.00,139.00,10.02,27.10
Image Width,39.16,16.00,107.00,8.27,21.11
Intensity,165.63,80.24,225.96,19.19,11.59
Length,15.87,5.76,69.64,5.22,32.89
Perimeter,63.77,23.88,292.93,28.75,45.09
Roughness,1.33,1.03,2.61,0.29,21.54
Sigma Intensity,39.04,3.25,58.82,12.10,31.01
Sum Intensity,80573.70,12838.00,5.59e+005,43742.35,54.29
Transparency,0.18,0.04,0.79,0.11,62.25
Volume (ABD),886.19,65.29,20705.17,944.90,106.63
Width,10.13,1.66,34.53,4.07,40.13

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,24,0.47,0.03,1177,0.12
6-7um,110,2.17,0.19,5396,0.81
7-8um,183,3.61,0.48,8977,2.01
8-9um,343,6.77,1.31,16826,5.46
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1106,21.82,4.35,54254,18
10-15um,2346,46.29,27.91,115081,116
15-20um,1269,25.04,39.54,62250,165
20-25um,254,5.01,16.41,12460,68
25-30um,43,0.85,5.14,2109,21
30-35um,15,0.30,2.91,736,12
35-40um,4,0.08,1.33,196,5.55
40-45um,3,0.06,1.47,147,6.14
45-50um,1,0.02,0.65,49,2.70
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,439,8.66,2.31,21535,9.63
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

