well_id,treatment,date,temperature,notes
a1,13,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
a2,8,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
a3,9,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
a4,1,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
a5,10,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
a6,3,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
b1,14,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
b2,2,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
b3,11,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
b4,12,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
b5,STOCK,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
b6,16,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
c1,16,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
c3,COMBO,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
c4,1,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
c5,4,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
c6,COMBO,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
d1,15,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
d2,5,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
d3,COMBO,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
d4,STOCK,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
d5,6,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
d6,7,April 30 2017,20,"time in respirometer in dark: 11am, lights on at 12:34pm, lights off at 3:35pm, done at 5:27pm"
a1,1,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
a2,16,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
a3,COMBO,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
a4,6,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
a5,STOCK,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
a6,3,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
b1,COMBO,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
b2,7,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
b3,2,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
b4,8,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
b5,15,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
b6,14,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
c1,10,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
c3,5,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
c4,11,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
c5,STOCK,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
c6,13,May 01 2017,10,"time in respirometer lights off: 10:20am, lights on at 11:28am, lights off at 2:38pm, stop at 5:36pm"
